Curs,TipusPregunta,TipusIncidencia,Comentari,Idioma
2019-20,P,,"Los exámenes se llevan a cabo en un tiempo muy reducido, entiendo que para evitar copias, pero de igual manera nos perjudica mucho. Se ha llevado a cabo un método de examen en el que tenias que decidir entre dos problemas en tres situaciones, que creo que es un buen método, pero es difícil decidir con el tiempo tan reducido.
Algunos aveces tenemos problemas de conexión, y esto no dificulta entregar cómodamente el examen la hora deseada, y el hecho de entregar fuera de tiempo puede conllevar a un 0 del ejercicio, esto opino que seria mejor reducir la nota según el tiempo que se ha tardado.
Otra cosa es que hace un mes que hicimos el examen y aún no sabemos ninguna nota.",es
2019-20,A,,"No puedo saber si estoy satisfecho con la asignatura, partiendo de la base de que no la entiendo, por eso mismo he respondido  ""Totalmente en desacuerdo"" a la primera pregunta. Hay veces que le preguntaba al coordinador de la asignatura y me decía, preguntale al otro profesor...

Hay mucho contenido en Optimización que se da super por supuesto, y no hacen como en Álgebra, empezar de 0, explicando ciertas cosas que no se han visto.",es
2019-20,P,,"Hay veces que vas super rápido explicando, tanto que a veces te lías a ti mismo. Das muchas cosas por supuesto, que quizás ciertas personas (sobre todo los que vienen de módulos) no son tan evidentes.

Aprietas mucho las tizas :P :P

Hay que dar ciertas partes del tema desde 0, tales como qué es un SENO, un COSENO una TANGENTE. Ya que los priemros días copiaba las cosas por copiar, pero no sabía DE DÓNDE salía. Igualmente me pasa con las derivadas e integrales, que POR FALTA DE TIEMPO para explicarlas, me he ido buscando la vida para medianamente entender su funcionamiento.

Sigo pensando que si de la totalidad de la asignatura, se coge sólo el 50%, por no asimilar bien los conceptos o solamente aprobar, ¿por qué no se reduce el temario a ese 50%?

",es
2019-20,A,,"El hecho de no haber tenido clase de esta asignatura durante aproximadamente un mes ha causado que actualmente nos veamos con una falta importante de tiempo para prepararnos de cara al examen. 

Por parte de Estadística, el resultado ha sido muy satisfactorio. Documentos muy entendedores y buen profesor.

Por parte de Optimización, ha sido una sensación no tan agradable. Ha habido una gran falta de interacción entre alumnos y profesor la mayor parte del tiempo y se hace difícil sobrellevar esta parte de la asignatura.",es
2019-20,A,,"Pienso que hay bastante contenido en la asignatura, ibamos casi a un tema por semana y eso no es tiempo suficiente para asimilar bien los conceptos, aun estando en la universidad.

Si de todo lo que damos en la asignatura, se coge el 50% o menos por falta de tiempo, ¿de qué sirve si no se coge más?",es
2019-20,P,,"Me encanta que esté disponible siempre que lo necesites. Se nota que domina mucho de programación y sabe de lo que habla. Aspectos negativos, creo que ninguno.",es
2019-20,P,,"Un buen profesor, se lo toma en serio y explica muy bien ",es
2019-20,A,,"Se ha notado un gran esfuerzo por parte de los profesores, ya que no es fácil enseñar ni aprender a programar en las actuales condiciones. Profesores muy accesibles y constantes en su trabajo. Se invierten muchas horas a la semana en hacer videoconferencias para ayudarnos lo máximo posible.",es
2019-20,P,,Sabe cómo explicar la parte teórica de la asignatura de un modo muy entendedor y asequible. Se nota un gran esfuerzo por su parte en prepararnos todos los materiales necesarios para las clases. Gran profesor.,es
2019-20,P,,"Todo un ejemplo a seguir como profesor. Le pone esfuerzo y ganas, y transmite positividad a la clase.",es
2019-20,P,,"Teniendo en cuenta todo el problema con las Clases Online Marga ha conseguido mantener la dinámica con los mínimos cambios posibles respecto a las clases presenciales y, su forma de evaluar la asignatura teniendo en cuenta las circunstancias no ha podido ser más adecuada. ¡Un placer haber sido su alumno!",es
2019-20,A,,"No he venido a hacer una carrera para hacer excells sencillos y estudios económicos poco realistas, nada útiles en la vida real, he aprendido más ayudando en casa gestionando varias empresas que con esta asignatura, quizás debería de estar más enfocada a lo que de verdad le va a tocar a todo el mundo que es gestionar facturas y pagos, algo de contabilidad, incluso que nos enseñasen a realizar y presentar los impuestos, seas empresario, autónomo o empleado vas a necesitar un mínimo de conocimiento general de contabilidad, eso es lo que deberían de enseñar.   ",es
2019-20,P,,"No sabe ni compartir la pantalla con un mínimo de resolución para que se lea, en las clases online lee los pdfs y explica alguna cosa, pero luego los ejercicios es imposible hacerlos, ni con sus escasas y escuetas explicaciones ni con sus apuntes. Solo que tuviese unos apuntes de calidad, las formulas bien explicado que es cada cosa, cuanto te hacen una pregunta saber que te están preguntando... Ademas los ejercicios los suele mandar con muy poca antelación, 2 o 3 días, que entre que te llega el correo y que es para entregar a las 16:00 te acabas pasando la noche sin dormir tratando de hacer los problemas y por muchas horas que le pongas es imposible, y mira que cosas como fisica de usar formulas y problemas se me dan bien... bueno, habrá que aprobarla como se pueda pero me parece que no debería de estar apretando tanto sin tener buen contenido y explicaciones, y contando en la época que estamos. Espero que puedan hacer algo, para mejorar esta asignatura, hacer que sea más útil e interesante!!! ",es
2019-20,A,,La asignatura tiene varios temas muy útiles para la formación profesional. Contiene metodologías interesantes y esta en sintonía con los temas socio económicos actuales. ,es
2019-20,P,,"Es una profesora completamente comprometida con la formación de sus estudiantes, es creativa y dinámica para enseñar los conocimientos. Siempre esta dispuesta a resolver dudas y en general tiene una actitud de enseñanza muy inspiradora.",es
2019-20,A,,"Es una asignatura un poco dura de sobrellevar, ya que es la más diferente de las que tenemos en nuestro grado. Aun así, la profesora se esfuerza en hacer que se nos haga lo más ameno posible y se nota que tiene una gran paciencia con nosotros. Siempre es muy accesible para consultas y ofrecer ayuda. Además, se agradece que sea flexible con los horarios si a nosotros no nos va bien debido a otras asignaturas.",es
2019-20,A,,La metodología de enseñanza no es dinámica y si se tiende a evaluar el conjunto de los conocimientos.,es
2019-20,A,,"En el examen, la parte test (del año pasado, formato presencial), me parece una locura que una pregunta fallada te reste 1 punto entero. 
En clase tenemos que proponer ejercicios nosotros, en vez de que los profesores  propongan ejercicios importantes o que consideren que nos prepararán mejor para el examen. Los ejercicios que se hacían en clase presencial, no se acababan y se explicaba todo por encima como si ya supiéramos todo a la perfección. 
Nos hacen falta más ejercicios resueltos de la materia ya que apenas hay y al ser en online las clases, es muy difícil entender al profesor o hacer un ejercicio nuevo sin boceto previo.
Los ejercicios que se hacen no están a la altura del examen. No cambian la metodología de la asignatura al ver que más de la mitad de matriculados la suspenden.
Y en formato presencial (ejemplo, el año pasado) se debería permitir llevar formulario, ya que hay muchas ecuaciones y es imposible acordarse de todas en un momento de estrés, como es el examen.",es
2019-20,P,,"Es una buena persona y se interesa en sus alumnos.
Sin embargo, sería conveniente que resolviera más ejercicios o de vez en cuando, nos comentara estrategias que puedan ayudarnos en sus exámenes. ",es
2019-20,A,,"Muy buena interacción profesor-alumno en cuanto a los ejercicios resueltos, sin importar las veces que repite los conceptos cada vez que los hace, ayuda mucho al seguimiento, Como propuesta: Para futuros años(dentro de la normalidad, ya que este  último medio curso ha sido bastante extraño por las clases virtuales), propondría que el alumno participara directamente en los ejercicios en clase saliendo a la pizarra, de vez en cuando, Por lo demás nada que objetar. ",es
2019-20,P,,"Ha tenido en cuenta la situación y se ha preocupado mucho para que entendamos todos los contenidos, ha puesto diferentes horarios de exámenes para si no puedes hacerlo a una hora hacerlo en otra, ha hecho tutorias para explicar lo que no entendíamos y se ha preocupado mucho por nosotros. ",es
2019-20,A,,"Cursar la asignatura ha contribuido muy poco a mi formación y lamentablemente no gracias al profesorado, su dedicación ha sido la mínima indispensable, y con muchas exigencias a la hora de evaluar; tiempos de problemas insuficientes, aparte de no contar con el examen completo, así que teníamos que seguir un orden predeterminado para la solucionar los problemas, el estrés que genera una evaluación de estas características hace que sea muy difícil la concentración para resolver los problemas. Nos ha faltado mucho apoyo para resolver problemas en clase, a parte de un recorte injustificado en la cantidad de horas de clases que deberíamos haber tenido.",es
2019-20,P,Comentari problemàtic,"Los métodos de enseñanza y aprendizaje que utiliza éste profesor son muy confusos he insuficientes cuando hacíamos clases llenaba la pizarra de gráficos y formulas a una velocidad que es casi imposible de seguir, aparte de que durante la explicación continuamente modifica los gráficos haciendo que los alumnos pierdan el hilo de la información; durante este último periodo de excepcionalidad después de la semana del 9 de Marzo, NO tuvimos ningún tipo de apoyo académico más que un par de pdf con ejercicios (sin ningún tipo de explicación de resolución paso a paso), unos escaneos de unas páginas de un libro y un par de enlaces al YouTube con videos muy poco útiles sin mencionar que uno de los videos está cortado y no acaba la explicación (https://www.youtube.com/watch?v=h-6wVWu5u7g), yo me pregunto, ¿realmente el profeso se miró éste video?. Después de más de un mes sin contacto con los profesores, la semana del 20 de Abril se retoman las clases en formato Online, y el profesor en vez de hacer las dos horas de clase solo emplea una hora para hacer la explicación teórica de los temas, las clases las hace con apuntes imprecisos, escritos a mano, muy confusos y sin pasar por una revisión, aparte de que los alumnos no recibíamos la información con antelación como para poder estudiarla y preparar la clase. El hecho de esta reducción horaria hace que hayamos hecho muy pocos ejercicios de preparación para afrontar un examen. También decir que las notas del primer parcial las tuvimos más de un mes después del examen, lo cual hace pensar que el profesorado no hace bien su trabajo. Por otra parte la falta de coordinación con el profesor Urrecho ha sido nefasta, o al menos esta fue la percepción de los alumnos.",es
2019-20,A,,En las prácticas de laboratorio no sabía muy bien que teníamos que copiar para el examen,es
2019-20,P,,"Positivo:Muy buen profesor que ayuda al estudiante.
Negativo:Se tendría que quitar eso de aprobar con un 6",es
2019-20,A,,Muy buen profesor!!,es
2019-20,P,,"Lorenzo es un profesor excelente, disfruta de su asignatura y por lo tanto nos la hace disfrutar a nosotros. Explica con calma y de forma muy entendedora todo el temario. Es un profesor que siempre está disponible para cualquier duda o problema y siempre está dispuesto a ayudarnos y motivarnos. ",es
2019-20,A,,"Es una asignatura ""abstracta"" en nuestra carrera que creo que requiere de clases presenciales y realizar casos prácticos y comentar ejemplos en clase. Los profesores se han adaptado muy bien, y nos han facilitado material para que pudiesemos seguirlo desde casa. Es cierto que hay ciertas actividades que son muy interesantes, pero me parecen un poco complicadas para hacerlas desde casa (debates por videoconferencia, no teniendo en cuenta que haya casos que no puedan estar disponibles a esa hora). Sin embargo se han organizado muy bien y no nos mandan una carga excesiva de trabajo.",es
2019-20,P,,"Aun no tenemos el examen corregido que realizamos en enero. Hemos oído por terceros que esta de baja, lo cual esta justificadísimo que no los haya corregido. Sin embargo, el coordinador de la asignatura ni nadie de la uni se puso en contacto con nosotros para retransmitirnoslo. Aún no tenemos ni idea de que pasará con esa parte del examen, la cual es indispensable aprobar para poder aprobar la asignatura. ",es
2019-20,P,,"Debido a la situación, cambio la forma de evaluar, en vez de hacer examen hicimos un trabajo.",es
2019-20,P,,"A pesar de la dificultad de su parte de la asignatura, la ha sabido llevar muy bien mandándonos material adicional y trabajos para que hiciésemos en casa. No nos ha cargado a trabajo excesivo. Creo que es la asignatura que aun siendo la más abstracta o difícil de preparar para la mayoría de los alumnos, más hemos podido aprender. Además se ha mostrado siempre disponible para cualquier duda o sugerencia que le quisiésemos hacer. 
Se ha organizado muy bien, de forma que hemos ido trabajando poco a poco su asignatura.",es
2019-20,P,,"No lo hemos podido conocer. Se ha organizado muy bien y nos mando un calendario con lo que sería de ahí hasta final de curso. Es cierto que en su asignatura hay alguna actividad, muy interesante, pero un poco más difícil para realizar desde casa, e igual no se ha tenido en cuenta. 
Creo que como coordinador de la asignatura, nos tenía que haber avisado o comentar algo respecto al examen de la parte de Pedro Elez, ya que no tenemos ni idea de que va a pasar con esa parte, después de cuatro meses.",es
2019-20,A,,Me parecen temas muy interesantes de los que nunca antes se nos había hablado y que creo que son importantes para la fromación de cualquier biotecnóloga o biotecnólogo.,es
2019-20,P,,"Ponía muchos ejemplos en las clases teóricas, lo que facilitaba la comprensión. Me parecían interesantes los seminarios de creatividad, ya que involucraban a toda la clase. El examen creo que era accesible, pero aún no se nos ha comunicado la nota. Comprendo la situación pero nadie nos ha informado de cómo se gestionará en caso de que no se pueda corregir antes de la recuperación.",es
2019-20,P,,"No me parecía que su manera de explicar fuese fácil de comprender. Con la situación del Covid nos facilitó el trabajo sutituyendo su examen (tenía bastante materia) por una actividad, lo que estuvo bien, ya que teniamos mucho para estudiar y aún nos estábamos adaptando todas y todos al cambio.",es
2019-20,P,,"La mayoría de su temario ha sido no presencial. En todo momento ha sido comprensivo con los alumnos, dada esta situación. Ha considerado que no era justo examinarnos de materia no explicada y ha sustituido el examen por entregas de trabajos que nos ayudan a ver la materia y a conocer las leyes que afectan a la biotecnología.",es
2019-20,P,,"Todo su bloque se ha visto afectado por la situación del coronavirus, por lo que ha tenido que dar su materia mediante presentaciones con audio. Creo que en ellas se entiende lo que quiere decir y las ha repartido de forma que nos de tiempo a seguir su temario. Lo único que no veo del todo factible es un debate que hay programado desde principio de curso, sobre los transgénicos, que debería ser presencial, pero dada la situación, se hará por videoconferencia y no sé cómo saldrá.",es
2019-20,P,,"Él no explicaba, nos mandaba a los alumnos, por grupos, hacer presentaciones con la materia que él decía y explicarla a la clase. ",es
2019-20,A,,"He encontrado el lado positivo a la asignatura porque me gustaba ya de por sí y considero que es muy interesante y se puede sacar partido de ella. Pero la coordinación entre el profesorado, y más dada la situación actual, ha sido muy mala, especialmente por el solapamiento de clases y trabajos entre distintos profesores en la misma asignatura.
Por otra parte, me parece fatal que aún no sepamos la nota de un parcial que hicimos en enero, y se nos vaya a decir en JUNIO la nota para avisarnos de si alguien tiene que ir a recuperación o no. Si es cierto que ese profesor ha estado de baja, pero creo que no es justo que se proceda así, y o bien lo debería haber corregido otro profesor de la asignatura o se debería desechar la opción de la recuperación de esa parte, creo que es lo mínimo.",es
2019-20,P,,"Es muy atento con los alumnos, y con las condiciones en las que estamos viviendo actualmente se ha organizado muy bien, y ha sido coherente con nosotros teniendo en cuenta cómo se nos están dando las asignaturas. Muy coherente y atento. ",es
2019-20,P,,Explica bastante bien y me ha motivado para conocer algunas partes de la asignatura. ,es
2019-20,P,,"Las presentaciones del campus virtual que corresponden a sus clases podrían mejorarse. Debido a la abundancia de imágenes y a la escasez de explicaciones, a veces es difícil seguir la clase con las diapositivas en mano. 
Sus clases sobre artículos pertinentes al tema estudiado son muy útiles y sirven para afianzar  los conocimientos del tema explicado.",es
2019-20,A,,"Respecto al confinamiento, se que las situaciones en cada casa son las que son pero, no puede ser que para el primer parcial tuviésemos la una densidad de temario concorde a las explicaciones de clase y ahora para el segundo que corresponde al periodo de confinamiento solamente se dedique a subir pdf con explicaciones muy densas que comparado con las clases que tenemos no daría tiempo siendo mucho mas extenso este parcial. Además de que no tenemos casi ninguna explicación por parte de la profesora. ",es
2019-20,A,,Es una asignatura muy compleja y muchas veces no entendía los contenidos de los temas porque en los power point había muchas fotos que no sabía interpretar.,es
2019-20,P,,"Gracias por hacer de esta una asignatura más fácil y asequible, y no un coñazo.",es
2019-20,P,,Gracias por hacer de esta una asignatura más amena y asequible y no un coñazo.,es
2019-20,A,,"Debido a la situación actual, habría que matizar que los métodos de evaluación se deberían de adaptar y ser un poco más flexibles; al igual a la hora de hacer los exámenes con el tiempo y las facilidades que se le podrían dar al alumnado y no se le dan ampliamente. 
Nosotros entendemos perfectamente el estrés que sufren los profesores y las dificultades que se les pueden presentar; solo pedimos lo mismo a cambio.",es
2019-20,P,,"Todos los años complica la asignatura, desmotiva al alumnado cuando va con dudas y no sabe adaptarse si el nivel que tenemos no es suficientemente alto. Estamos en la universidad para aprender y si no llevamos algo sabido de casa, lo suyo es que nos ayuden a que adquiramos los conocimientos, no que tengamos que apuntarnos a clases particulares porque no hay forma de seguiros.",es
2019-20,A,,"En la mayoría de pruebas a evaluar (la presencial y muchas de las realizadas a través de la plataforma) contaron con escaso tiempo de realización y en algunos casos mala coordinación a la hora de pasar del test a la prueba práctica. Al igual que en el resto de asignaturas, decir que el alumnado entiende el estrés por el que pasan los profesores, solo esperamos que esa comprensión sea mutua",es
2019-20,P,,"Todo lo aquí comentado se hace valorando las clases presenciales o como las impartidas en la plataforma.
Respecto a los métodos de aprendizaje se echa en falta una mejor comunicación y capacidad explicativa, ya que no llega al alumno; incluso una mayor esfuerzo a la hora de prestar atención, ya que en muchos casos comete errores básicos (que le podría pasar a cualquiera) pero de forma reiterada.
A la hora de realizar preguntas, rara vez contesta de forma clara y concreta; por lo q la duda suele quedar sin resolver. Normalmente te redirecciona a los powers que él mismo cuelga, cuando muchas veces en la pregunta ya se especifica que no se entiende la explicación ahí dada.",es
2019-20,A,,"Creo que no se nos han escuchado las sugerencias/ cambios que hemos propuesto. Entendemos que es una situación difícil y de adaptación para todos, tanto profesores como alumnos, Sin embargo, creo que no se están tomando las medidas justas en esta nueva realidad. No pienso que haya que facilitarnos ni regalarnos nada, pero si dejar de normalizar esta situación y hacer los respectivos cambios. 
Se va a seguir dando el mismo temario que el que se hubiese dado presencialmente (además de las 2 semanas que se ""perdieron"" al principio cuando todo vino de repente, no es lo mismo tener que estudiarselo cada uno por su cuenta en casa). Es imposible seguir el ritmo de trabajo que nos están mandando (tanto temario, como trabajos alternativos a prácticas como otro tipo de trabajos). 
Los exámenes de marzo, estaban más focalizados  en que no copiásemos en vez de poder plasmar lo que habíamos estudiado en esas dificultades. Tiempo muy justo, exámenes totalmente diferentes entre alumnos...
La desorganización/descoordinación o cambios de un momento a otro que nos hemos visto expuestos en esta asignatura, tampoco han ayudado.
",es
2019-20,P,,"Creo que no ha sabido escuchar nuestras sugerencias. 
Tampoco ha sido muy justa a la hora de evaluar (poniendo a cada alumno un examen totalmente diferente), poniendo un examen con más tiempo para algunos alumnos (los que al finalizar el examen oficial, seguían en el chat y con suerte vieron que había subido otro) el cual después decidió no evaluar, aprovechándose así del tiempo de los alumnos. 
Su descoordinación/ desorganización ha podido afectarnos también. Ya que bastante carga y estrés llevamos como para que encima estén cambiando las cosas. 
La cantidad de trabajo que nos está mandado creo que tampoco está siendo adaptada a la situación. 
Es verdad que nos manda todas las clases grabadas en audio, facilitandonos así las clases. Sin embargo, yo personalmente y algún otro compañero hemos tenido problemas a la hora de poder escuchar los audios y no se ha preocupado en buscar una solución o ayudarnos.",es
2019-20,P,No ha impartit classe a aquest grup,"No hemos podido conocer a esta profesora. Sin embargo, se ha mantenido en contacto con nosotras por correo electrónico.",es
2019-20,A,,"El examen fue mal por falta de tiempo, y la dificultad era excesiva respecto a lo explicado en clase.",es
2019-20,P,,"Sus explicaciones no son claras, y bajo mi punto de vista hay demasiada sobrecarga de trabajos en la asignatura, ya que son 3 informes bastante largos y 2 trabajos más a los que se debe dedicar mucho tiempo.
Además, el 1r examen no está igualado de temario con el 2º, en el 2º hay mucho más, lo cual no es justo en cuanto a %.",es
2019-20,P,,"El tema es demasiado largo, hay cosas demasiado técnicas no necesarias para la formación de un biotecnologo.",es
2019-20,A,,"La materia profundiza bastante en las diferentes fermentaciones que se producen en los alimentos y considero que es interesante tanto para una persona que se quiera dedicar a la rama alimentaria de la biotecnología como para otra que prefiera la microbiológica, ya que se conocen propiedades de microorganismos.",es
2019-20,P,,"Me parece que explica de manera desordenada lo que nos impide una buena comprensión de los contenidos de la asignatura. En prácticas no tiene en cuenta que somos mucha gente en el laboratorio y avanza aunque algún grupo se haya quedado dos pasos para atrás, además tampoco se entiende por qué se hace cada cosa. Respecto a su gestión de la situción del Covid-19, no estoy satisfecha. Primero nos establece unas fechas para que nos organicemos (repartición de la materia por días) y no las respeta. Además pone preguntas en el fórum sin avisar y sin informarnos de si tienen fecha límite. Su forma de explicar, igual que la de muchos, es mediante presentaciones con audio. Respecto al examen, las preguntas eran verdadero o falso y teníamos 15 minutos para responder 25 preguntas (ni un minuto por pregunta), por lo que mucha gente, a pesar de haber estudiado, nos vimos perjudicados por la falta de tiempo. Al acabar el examen, como se le comunicó que no había dado tiempo, abrió otro examen con 5 minutos más sin avisar por correo, es decir no se enteró toda la clase, que luego anuló y estableció un ajuste en las notas que no acabo de entender. Debido a los problemas  con el examen, decidió hacer una encuesta sobre este para tener en cuenta para el examen de junio, y aunque la mayoría, o bien nos quejabamos de que no había dado tiempo, o de que el tiempo justo nos limitó a la hora de hacerlo, ha considerado que el tiempo no fue un problema. Por último,ya que las notas no eran muy buenas, se le pidió hacer un trabajo opcional para quien quisiera subir su nota y no aceptó.",es
2019-20,A,,"A causa del COVID-19 se hicieron los exámenes online, no encuentro correcta la primera evaluación que se ha realizado, han habido demasiadas irregularidades, tal como el tiempo que se dejo y el hecho que se abrieran diferentes exámenes a la vez. Tampoco encuentro correcta que cada alumno tuviese diferentes exámenes, tendría que ser el mismo examen pero con las preguntas desordenadas, ya que de esta forma te aseguras de que todos se evalúen con la misma dificultad. No encuentro correcto la modificación de notas para que todos estuvieran contentos, este examen se tendría que haber anulado o se tendría que haber realizado algún ejercicio para poder subir nota, y no tener que esperar a la recuperación que es en julio. Ha habido muy poca comunicación, y no se ha realizado de forma correcta esta primera evaluación.",es
2019-20,P,,"Encuentro que a la hora de explicar es demasiado desorden, esto dificulta el hecho de tomar buenos apuntes. No supo sobrellevar la situación de la pandemia, y no se hizo de forma correcta la primera evaluación. La segunda evaluación aun no se ha realizado así que se espera que se sea más consciente de la situación en que vivimos y se busque una buena solución para todos. Para arreglar las cosas no basta con subir la nota, se tiene que buscar una buena solución o al menos dar la opción de subir nota, ya que las irregularidades que se realizaron no fueron culpa de los alumnos. Se tendría que haber dado opción a subir nota y no tener que esperar a la recuperación que es en julio. ",es
2019-20,P,,"No la hemos tenido de forma presencial a causa de la pandemia, esto hace que no sea posible evaluarla ",es
2019-20,A,,"El examen realizado no refleja los conocimientos adquiridos al ser un tipo test en el que no hay que demostrar que se ha entendido el tema, solo que se conocen los detalles explicados en clase de memoria.",es
2019-20,P,,"Un aspecto que podría mejorar es en asegurarse que a los alumnos les queda claro lo que tienen que estudiar para el examen, y que se ha entendido lo que quería explicar, ya que a veces no se escucha bien en las clases.",es
2019-20,A,,"En los exámenes sólo están pendientes de si copiamos o no, y no nos deja el tiempo suficiente para poder comprender, razonar y responder las preguntas adecuadamente. 
",es
2019-20,P,,"En los exámenes tipo test del campus sólo está pendiente de si copiamos, deja muy poco tiempo para contestar las preguntas y es bastante desorganizada. 
",es
2019-20,A,,"La coordinación entre profesorado no ha sido buena. No ha habido organización por parte de Sonia a la hora de subir los power points. Dos semanas sin subir nada, de repente en un mismo día varios power points a la vez. Temario larguísimo que considero, dadas las circunstancias, podría haberse reducido un poco. Nos han mandado las prácticas que deberíamos haber hecho en clase a través de un informe sin previa explicación. Muy descontenta con esta metodología y considero que nada eficaz para nuestra formación.",es
2019-20,P,,"Considero que no ha tenido en cuenta las circunstancias excepcionales que hemos vivido en ningún momento. Además me gustaría destacar el tiempo ridículo que nos dejaba para realizar los exámenes: 30 segundos por pregunta. Días, incluso semanas estudiando una asignatura para que la evalúen en 15 minutos con tiempo casi ni a procesar. He visto más preocupación en ella en que no copiásemos que en realmente transmitirnos conocimiento.",es
2019-20,P,,"La coordinación con Sonia no fue correcta a la hora de subir la materia al campus. Además, su parte de temario que correspondía a 1 tema, era larguísimo, más de 6 horas de audios (más el tiempo correspondiente a tomar nota de ellos).",es
2019-20,A,,La prfesora muy atenta en todo momento,es
2019-20,P,,Muy dispuesta,es
2019-20,A,,"El primer parcial por el campus virtual ha sido un desastre. Poco tiempo, preguntas largas y sin retorno. Ahora con las clases son los power points con algo de letra, pero están poco completos y no hacemos ninguna videoconferencia. Dice que no tiene tiempo para grabarse y que buscamos apuntes en libros que tenemos en casa (claro! Como hay libros de biología celular en todas las casas...). Si yo tengo problema de conexión, ella tiene el doble. Siempre tiene que estar ella en la pero situación de todas. No entiende que haya gente que durante el confinamiento tenga que cuidar de sus hermanos, de sus abuelos, hacer las tareas del hogar, ir a comprar... Ella se cree que nosotros estamos todo el día sentados en el ordenador estudiando únicamente biología celular. Quita las ganas de estudiar.",es
2019-20,P,,"Hasta ahora la profesora en impartir clases ha sido Celia Casas. Creo que transmite muy bien los conocimientos y la materia de la asignatura, pero el hecho de que durante el confinamiento no haya clases online o videos explicativos (los recursos se limitan a presentaciones con un texto en el que se desarrolla la teoria), en mi opinión hace que perdamos información y que los conceptos no quedan tan claros.",es
2019-20,A,Comentari de professor,"El primer parcial por el campus virtual ha sido un desastre. Poco tiempo, preguntas largas y sin retorno. Ahora con las clases son los power points con algo de letra, pero están poco completos y no hacemos ninguna videoconferencia. Dice que no tiene tiempo para grabarse y que buscamos apuntes en libros que tenemos en casa (claro! Como hay libros de biología celular en todas las casas...). Si yo tengo problema de conexión, ella tiene el doble. Siempre tiene que estar ella en la peor situación de todas. No entiende que haya gente que durante el confinamiento tenga que cuidar de sus hermanos, de sus abuelos, hacer las tareas del hogar, ir a comprar... Ella se cree que nosotros estamos todo el día sentados en el ordenador estudiando únicamente biología celular. Quita las ganas de estudiar.",es
2019-20,P,,Marta hace videoconferencia a las hora de clase. Se explica muy bien con la ayuda de una presentación. Es como si estuviéramos en clase. Ha sabido afrontar la situación del covid-19 de la manera correcta.,es
2019-20,P,,"El primer parcial por el campus virtual ha sido un desastre. Poco tiempo, preguntas largas y sin retorno. Ahora con las clases son los power points con algo de letra, pero están poco completos y no hacemos ninguna videoconferencia. Dice que no tiene tiempo para grabarse y que buscamos apuntes en libros que tenemos en casa (claro! Como hay libros de biología celular en todas las casas...). Nos pone problemas muy complicados de resolver para entregar, cosa que en cursos anteriores no eran para nada de ese nivel. 

Si yo tengo problema de conexión, ella tiene el doble. Siempre tiene que estar ella en la peor situación de todas. No entiende que haya gente que durante el confinamiento tenga que cuidar de sus hermanos, de sus abuelos, hacer las tareas del hogar, ir a comprar... Ella se cree que nosotros estamos todo el día sentados en el ordenador estudiando únicamente biología celular. Quita las ganas de estudiar.",es
2019-20,P,,Tener más tiempo en los examanes,es
2019-20,A,,A sido de las pocas asignaturas capaces de adaptarse a la situación y plantear lo que queda de curso grabando las clases dando al opción al alumnado a poder seguir las clases de una manera más coherente con la situación actual. Gracias por el esfuerzo ,es
2019-20,P,,"Clases grabadas con apoyo visual muy eficaz, sistema de evaluación no tan bueno por las herramientas del campus. Todas las dudas me las resolvió de manera rápida y eficaz. Gracias por el esfuerzo ",es
2019-20,P,,Clases grabas con apoyo visual y gran explicación. A sabido adaptarse a las condiciones sin bajar el nivel ni exigir más. Gracias ,es
2019-20,P,,"Asignatura parcialmente finalizada antes del estado de cuarentena, aun así a sabido adaptar su último examen de manera coherente. ",es
2019-20,P,,El mejor professor 100%vocacional,es
2019-20,P,,Aunque no han tenido mucho en cuenta el examen en estas circunstancias y deben tener en cuenta que no es lo mismo leer las preguntas en un papel que con un internet que puede fallar,es
2019-20,A,,"En general, a todos los profesores se les agradece el empeño en hacernos referencias y relacionarlos la Agronomía con la Veterinaria para así animarnos más en las clases y despertarnos más interés.
Una de las pocas pegas de esta asignatura serían los exámenes. Apenas hay tiempo para realizarlos y poder pararte a pensar. Entendemos el estrés del profesorado, pero la verdad es que parece que ellos no se ponen en el nuestro y es un poco frustante; ya que da la sensación que a lo único a lo que le dan importancia es a que no copiemos, conlleve a lo que conlleve eso.
Se ha dicho en distintas ocasiones que solíamos dejar para el final esta asignatura por no ser ni Anatomía ni Fisiología, no lo hicimos; ya que tanto profesores como alumnos del año pasado nos pusieron en sobredicho de la dificultad de la materia. Solo era un comentario porque es algo q se nos suele echar en cara y en mi opinión es falso.",es
2019-20,P,,"Se agradece su entusiasmo y actitud a la hora de dar clase. 
Es agradable encontrarse profesores así ",es
2019-20,A,,Ajustarse a la guía docente y en caso de modificarla que sea coherente sus porcentajes y se habitúen a la situación del alumnado junto con la comunicación con los demás profesores.,es
2019-20,A,,"La asignatura en general es muy interesante porque tocas muchos aspectos diferentes respecto a la producción ecológica. El método evaluativo en mi opinión está bien, el inconveniente es quererlo cambiar a mitad de curso, sin tener nada que ver con la circunstancia especial (pandemia). Squería cambiar la valoración de los % de los exámenes de teoria, y creo que es algo que se debe revisar al principio de la asignatura para poder basarnos en guías sólidas, porque siempre lo acaba pagando el alumnado o parte de el.",es
2019-20,P,,Profeso cercano que explica un apartado interesante de la producción ecológica y con ejemplos muy reales. Un aspecto a mejorar es la organización por su parte.,es
